店番,店舗名,パターン,部数,商圏NO
27480,ザ・ビッグ　岐南店,★レギュラー①,2400,591947
27480,ザ・ビッグ　岐南店,★レギュラー②,2650,591949
27480,ザ・ビッグ　岐南店,★レギュラー③,3500,591950
16460,ザ・ビッグエクストラ　彦根店,ＪＲより北,4500,509104
16120,ザ・ビッグ　高月店,長浜方面,4500,602299
27480,ザ・ビッグ　岐南店,★レギュラー④,4600,591951
18580,ザ・ビッグ　那須店,☆レギュラー,5000,184728
399180,ザ・ビッグエクスプレス　五女子店,,5000,572664
700030,ザ・ビッグエクスプレス　荒子店,,5000,572665
16360,ザ・ビッグ　豊郷店,,5000,602278
27480,ザ・ビッグ　岐南店,★レギュラー①＋②,5050,592256
27480,ザ・ビッグ　岐南店,★レギュラー①＋③,5900,592255
16120,ザ・ビッグ　高月店,長浜方面,6000,593801
16120,ザ・ビッグ　高月店,②虎姫駅周辺,6000,602413
27480,ザ・ビッグ　岐南店,★レギュラー①＋④,7000,592253
16120,ザ・ビッグ　高月店,長浜方面,7000,593800
398440,ザ・ビッグエクスプレス　楠店,,7500,576859
398510,ザ・ビッグエクスプレス　味鋺店,,7500,576861
27480,ザ・ビッグ　岐南店,★レギュラー⑤,7850,591948
16510,ザ・ビッグエクストラ　山県店,,8000,581707
16460,ザ・ビッグエクストラ　彦根店,ＪＲより北＋追加エリア,8000,596518
27480,ザ・ビッグ　岐南店,★レギュラー①＋②＋③,8550,600293
16460,ザ・ビッグエクストラ　彦根店,ＪＲより北＋追加エリア,8600,575751
16330,ザ・ビッグエクストラ　湖南店,,9000,596519
27480,ザ・ビッグ　岐南店,★レギュラー①＋③　ＣＤＤＳ,9450,592460
18600,ザ・ビッグ　輪之内店,☆【Ａ】１００００,10000,184403
18600,ザ・ビッグ　輪之内店,☆【Ｂ】１００００,10000,184408
18590,ザ・ビッグ　養老店,☆【Ｃ】１００００,10000,184449
18590,ザ・ビッグ　養老店,,10000,185770
12810,ザ・ビッグエクストラ　那須塩原店,☆提案　単独１万,10000,188169
12820,ザ・ビッグエクストラ　真岡店,☆レギュラー,10000,206573
16070,ザ・ビッグ　芸濃店,,10000,219514
16100,ザ・ビッグ　菰野店,芸濃店ＯＰ後,10000,220262
16200,ザ・ビッグエクストラ　玉城店,店舗中心,10000,232819
16330,ザ・ビッグエクストラ　湖南店,,10000,237985
16510,ザ・ビッグエクストラ　山県店,,10000,256443
16440,ザ・ビッグ　美濃店,☆レギュラー,10000,258013
16360,ザ・ビッグ　豊郷店,,10000,286515
16340,ザ・ビッグ　津藤方店,,10000,297137
700090,ザ・ビッグエクスプレス　松阪高町店,足元,10000,341412
700100,ザ・ビッグエクスプレス　甲南店,,10000,341421
700070,ザ・ビッグエクスプレス　小俣店,,10000,341422
398470,ザ・ビッグエクスプレス　南陽店,,10000,341506
16120,ザ・ビッグ　高月店,長浜方面,10000,365865
16220,ザ・ビッグエクストラ　各務原鵜沼店,【ご提案】,10000,386800
12770,ザ・ビッグエクストラ　津河芸店,【ご提案】,10000,398096
16590,ザ・ビッグエクストラ　本巣店,足元,10000,425580
26350,ザ・ビッグエクスプレス　岡崎福岡店,店舗中心,10000,495354
700030,ザ・ビッグエクスプレス　荒子店,,10000,529143
26550,ザ・ビッグエクストラ　亀山店,,10000,531128
398560,ザ・ビッグエクスプレス　花ノ木店,,10000,534580
398440,ザ・ビッグエクスプレス　楠店,,10000,534581
399180,ザ・ビッグエクスプレス　五女子店,,10000,534584
700060,ザ・ビッグエクスプレス　夏見橋店,,10000,544271
700050,ザ・ビッグエクスプレス　鈴鹿ユーズ店,Ｂパターン　西側寄り,10000,547504
700090,ザ・ビッグエクスプレス　松阪高町店,店舗中心１００００枚カット,10000,547773
26550,ザ・ビッグエクストラ　亀山店,足元・北側カット,10000,548015
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　鈴鹿ユーズＢ・Ｃ実施,10000,548034
398510,ザ・ビッグエクスプレス　味鋺店,,10000,548171
700090,ザ・ビッグエクスプレス　松阪高町店,南側１００００枚　足元無,10000,549188
700080,ザ・ビッグエクスプレス　神田久志本店,店舗中心＋北側,10000,554669
700050,ザ・ビッグエクスプレス　鈴鹿ユーズ店,Ｃパターン　足元カット＋南側追加,10000,554718
71826,ザ・ビッグエクスプレス　日比津店,ご提案　１万枚,10000,558924
73694,ザ・ビッグエクスプレス　岐阜早田店,ご提案　１万枚,10000,566786
71826,ザ・ビッグエクスプレス　日比津店,平日　北西の川を越えない,10000,572659
16440,ザ・ビッグ　美濃店,☆②武芸川地区,10000,599031
16440,ザ・ビッグ　美濃店,☆③マーゴ付近,10000,599042
16440,ザ・ビッグ　美濃店,☆レギュラー,10000,599047
16440,ザ・ビッグ　美濃店,【Ａ】☆新レギュラー①,10000,599092
16440,ザ・ビッグ　美濃店,【Ｂ】☆新レギュラー②,10000,599093
18610,ザ・ビッグエクストラ　岐阜池田店,１００００枚パターン,10000,601807
16590,ザ・ビッグエクストラ　本巣店,１００００枚パターン,10000,601808
13080,ザ・ビッグエクストラ　野洲店,Ｅ　野洲市内,10200,592251
27480,ザ・ビッグ　岐南店,★レギュラー①＋⑤,10250,592254
18560,ザ・ビッグエクストラ　さくら店,さくら市,10750,575376
700050,ザ・ビッグエクスプレス　鈴鹿ユーズ店,Ｄパターン　Ｃ＋足元追加,10900,577340
27480,ザ・ビッグ　岐南店,★レギュラー①＋④　ＣＤＤＳ,11150,592462
700050,ザ・ビッグエクスプレス　鈴鹿ユーズ店,２ｋｍ圏,12000,578092
16440,ザ・ビッグ　美濃店,☆レギュラー　ＣＤＤＳ,12100,553277
27480,ザ・ビッグ　岐南店,★レギュラー①＋②＋⑤,12900,596620
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　西側追加,13000,567549
27480,ザ・ビッグ　岐南店,★レギュラー①＋⑤　ＣＤＤＳ,13200,592402
700100,ザ・ビッグエクスプレス　甲南店,,13500,545360
16460,ザ・ビッグエクストラ　彦根店,ＪＲより北＋米原方面,14000,596517
16440,ザ・ビッグ　美濃店,☆レギュラー　ＣＤＤＳ,14200,571062
71826,ザ・ビッグエクスプレス　日比津店,ご提案　西側・北側　川を越えない,14300,567542
16460,ザ・ビッグエクストラ　彦根店,ＪＲより北＋米原方面,14500,575914
27480,ザ・ビッグ　岐南店,★レギュラー①＋②　ＣＤＤＳ,14900,592459
16220,ザ・ビッグエクストラ　各務原鵜沼店,,15000,387065
16510,ザ・ビッグエクストラ　山県店,,15000,436807
26550,ザ・ビッグエクストラ　亀山店,,15000,541159
398440,ザ・ビッグエクスプレス　楠店,,15000,548170
73694,ザ・ビッグエクスプレス　岐阜早田店,ご提案　１．５万枚,15000,579384
16370,ザ・ビッグ　可児御嵩店,多治見方面,15000,592252
16070,ザ・ビッグ　芸濃店,北側追加,15400,548348
16510,ザ・ビッグエクストラ　山県店,,17000,454250
16120,ザ・ビッグ　高月店,１万＋長浜駅周辺,17000,575749
18590,ザ・ビッグ　養老店,【Ｃ】河間ＯＰ後,18600,592909
398510,ザ・ビッグエクスプレス　味鋺店,ＣＤＤＳ,18850,548741
12820,ザ・ビッグエクストラ　真岡店,☆【Ａ】提案エリア　５万分割（東）,20000,184159
18600,ザ・ビッグ　輪之内店,２００００Ａ,20000,184393
18590,ザ・ビッグ　養老店,２００００Ａ,20000,184437
18590,ザ・ビッグ　養老店,,20000,184440
12810,ザ・ビッグエクストラ　那須塩原店,☆【Ａ】提案エリア　３万分割　（東）,20000,184749
18590,ザ・ビッグ　養老店,☆【Ｃ】２００００,20000,185766
18600,ザ・ビッグ　輪之内店,☆【Ｂ】２００００,20000,185776
13080,ザ・ビッグエクストラ　野洲店,◎レギュラー,20000,185837
16100,ザ・ビッグ　菰野店,芸濃店ＯＰ後,20000,220258
16330,ザ・ビッグエクストラ　湖南店,,20000,245621
16510,ザ・ビッグエクストラ　山県店,,20000,256445
18560,ザ・ビッグエクストラ　さくら店,【南】１５．１２．９から,20000,264695
16360,ザ・ビッグ　豊郷店,,20000,286516
700060,ザ・ビッグエクスプレス　夏見橋店,,20000,341440
16370,ザ・ビッグ　可児御嵩店,多治見方面,20000,342581
700050,ザ・ビッグエクスプレス　鈴鹿ユーズ店,,20000,359482
16220,ザ・ビッグエクストラ　各務原鵜沼店,,20000,387068
16120,ザ・ビッグ　高月店,近江長岡方面,20000,471118
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　鈴鹿ユーズＢ実施,20000,548032
18620,ザ・ビッグエクストラ　弥富店,２００００枚,20000,551636
12770,ザ・ビッグエクストラ　津河芸店,【レギュラー】１６．１１から,20000,552233
12770,ザ・ビッグエクストラ　津河芸店,【レギュラー】１６．１１から,20000,553355
16200,ザ・ビッグエクストラ　玉城店,提案【Ａ】海側　修正　店舗中心＋東側,20000,554712
71826,ザ・ビッグエクスプレス　日比津店,ご提案　２万枚,20000,558923
73694,ザ・ビッグエクスプレス　岐阜早田店,ご提案　２万枚,20000,566788
13080,ザ・ビッグエクストラ　野洲店,Ｅ　野洲市内＋守山方面,20000,587286
27480,ザ・ビッグ　岐南店,★レギュラー①＋④＋⑤　ＣＤＤＳ,20200,593381
27480,ザ・ビッグ　岐南店,★レギュラー,21000,493173
71826,ザ・ビッグエクスプレス　日比津店,ご提案　西・北カット,21300,567539
71826,ザ・ビッグエクスプレス　日比津店,店舗中心,21300,569816
71826,ザ・ビッグエクスプレス　日比津店,外周,21300,569817
18590,ザ・ビッグ　養老店,【Ｃ】河間ＯＰ後,22300,593113
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　西側追加,23000,567551
16510,ザ・ビッグエクストラ　山県店,,23000,581708
16330,ザ・ビッグエクストラ　湖南店,,24000,576236
16330,ザ・ビッグエクストラ　湖南店,,24500,577339
16510,ザ・ビッグエクストラ　山県店,,25000,449920
16330,ザ・ビッグエクストラ　湖南店,２００００＋竜王＋栗東,26000,578278
18590,ザ・ビッグ　養老店,【Ｂ】河間ＯＰ後,26000,590685
16220,ザ・ビッグエクストラ　各務原鵜沼店,【ご提案】Ａ　２万枚＋扶桑,27000,398803
16510,ザ・ビッグエクストラ　山県店,,27000,454672
18630,ザ・ビッグエクストラ　大安寺店,,27200,299681
18620,ザ・ビッグエクストラ　弥富店,３０，０００エリアＡ,30000,180772
18590,ザ・ビッグ　養老店,３００００Ａ,30000,184432
16040,ザ・ビッグエクストラ　刈谷店,☆【Ｃ】３００００,30000,184473
16040,ザ・ビッグエクストラ　刈谷店,☆【Ｄ】３００００,30000,184474
12810,ザ・ビッグエクストラ　那須塩原店,【Ａ】提案エリア　４２５分割　（東）,30000,184741
12810,ザ・ビッグエクストラ　那須塩原店,☆【Ｂ】提案エリア　４２５分割（西）,30000,184747
18590,ザ・ビッグ　養老店,☆【Ｃ】３００００,30000,185762
18590,ザ・ビッグ　養老店,,30000,185764
18600,ザ・ビッグ　輪之内店,☆【Ａ】３００００,30000,202500
18600,ザ・ビッグ　輪之内店,☆【Ｂ】３００００,30000,202501
16330,ザ・ビッグエクストラ　湖南店,,30000,243056
18560,ザ・ビッグエクストラ　さくら店,【中】１５．１２．９から,30000,264699
18560,ザ・ビッグエクストラ　さくら店,【南】１５．１２．９から,30000,264703
16360,ザ・ビッグ　豊郷店,,30000,286517
16040,ザ・ビッグエクストラ　刈谷店,３００００Ａ,30000,316983
16040,ザ・ビッグエクストラ　刈谷店,３００００新Ｂ,30000,317641
16370,ザ・ビッグ　可児御嵩店,南側　多治見方面,30000,333886
16220,ザ・ビッグエクストラ　各務原鵜沼店,【ご提案】西側,30000,386796
16220,ザ・ビッグエクストラ　各務原鵜沼店,【ご提案】東側　犬山拡大,30000,387165
12820,ザ・ビッグエクストラ　真岡店,４万－西側,30000,444656
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　鈴鹿ユーズＢ実施,30000,548026
13080,ザ・ビッグエクストラ　野洲店,Ａパターン,30000,548053
13080,ザ・ビッグエクストラ　野洲店,Ｂパターン　北部強化,30000,548057
13080,ザ・ビッグエクストラ　野洲店,Ｃパターン　南部強化,30000,548058
13080,ザ・ビッグエクストラ　野洲店,Ｄパターン　東部強化,30000,548059
16200,ザ・ビッグエクストラ　玉城店,提案【Ａ】海側　修正　店舗中心＋東側,30000,554714
71826,ザ・ビッグエクスプレス　日比津店,ご提案　３万枚,30000,558919
12770,ザ・ビッグエクストラ　津河芸店,【レギュラー】１６．１１から,30000,562588
73694,ザ・ビッグエクスプレス　岐阜早田店,ご提案　３万枚,30000,566789
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　西側追加,33000,567553
71826,ザ・ビッグエクスプレス　日比津店,ご提案　２万枚＋ＣＤＤＳ,35350,560727
18620,ザ・ビッグエクストラ　弥富店,２００００枚　ＣＤＤＳ,35800,551644
27480,ザ・ビッグ　岐南店,★ＣＤＤＳ,36250,496225
16220,ザ・ビッグエクストラ　各務原鵜沼店,【ご提案】西側＋扶桑,37000,398804
71826,ザ・ビッグエクスプレス　日比津店,ご提案　４万枚,38800,558913
12810,ザ・ビッグエクストラ　那須塩原店,☆提案エリア　４００００枚,40000,206625
18560,ザ・ビッグエクストラ　さくら店,【南】１５．１２．９から,40000,264689
18620,ザ・ビッグエクストラ　弥富店,☆【Ａ】津島より,40000,287126
12820,ザ・ビッグエクストラ　真岡店,４万＋３万南パターン＋おもちゃの町駅,40000,435259
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　鈴鹿ユーズＢ・Ｃ実施,40000,547602
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　北側カット　西側追加,40000,567554
16550,ザ・ビッグエクストラ　鈴鹿玉垣店,Ｃパターン　北側カット　西側追加,43000,567555
18630,ザ・ビッグエクストラ　大安寺店,,44800,299683
71826,ザ・ビッグエクスプレス　日比津店,ご提案　５万枚,46100,558909
16040,ザ・ビッグエクストラ　刈谷店,☆【Ｃ】５００００,50000,185784
16040,ザ・ビッグエクストラ　刈谷店,☆【Ｄ】５００００,50000,185785
18910,ザ・ビッグエクストラ　天理店,◎【Ｂ】,50000,250555
18560,ザ・ビッグエクストラ　さくら店,【南】１５．１２．９から,50000,264692
16040,ザ・ビッグエクストラ　刈谷店,５００００新Ｂ,50000,317004
16370,ザ・ビッグ　可児御嵩店,多治見方面,50000,333893
16040,ザ・ビッグエクストラ　刈谷店,５００００新Ａ,50000,370555
13080,ザ・ビッグエクストラ　野洲店,ＡＢＣＤ　結合,50000,564123
73694,ザ・ビッグエクスプレス　岐阜早田店,ご提案　５万枚,50000,566790
16360,ザ・ビッグ　豊郷店,,53400,289384
18630,ザ・ビッグエクストラ　大安寺店,,57500,576394
18620,ザ・ビッグエクストラ　弥富店,３０，０００エリアＡ　ＣＤＤＳ,57750,593750
18620,ザ・ビッグエクストラ　弥富店,【Ｂ】,60000,457411
12770,ザ・ビッグエクストラ　津河芸店,【レギュラー】１６．１１から,60000,561874
13080,ザ・ビッグエクストラ　野洲店,ＡＢＣＤ　結合,60000,564124
18620,ザ・ビッグエクストラ　弥富店,【Ｂ】２ｋｍ圏ＣＤＤＳ　６万に調整,60000,593166
18620,ザ・ビッグエクストラ　弥富店,【Ｂ】２ｋｍ圏ＣＤＤＳ,73800,593164
18910,ザ・ビッグエクストラ　天理店,【新】大和郡山,80000,371648
18620,ザ・ビッグエクストラ　弥富店,【Ｂ】　ＣＤＤＳ,120750,592992
